"UPC","Item","Size","QTY","Best Case Price"
"082000790877","CROWN ROYAL W/2 50ML VAN/APP, 750 [204825]","750","6",0
"082000790884","SEAGRAMS SEVEN W/ 2 50ML VAP, 1.75 [204832]","1.75","6",0
"082000790969","THE WALKING DEAD BOURBON, 750 [215414]","750","12",0
"082000791133","CAPT MORGAN HITCHHICKER PK PET, 1.75 [204672]","1.75","6",0
"082255404","CIROC FRENCH VANILLA 4/15PKS, 50ML [243198]","50ML","4",0
"08241906","DELEON REPOSADO 12/CS, 375 [219116]","375","12",317
"08246503","DELEON REPOSADO 3/CS, 1.75 [219112]","1.75","3",275
"08246804","DELEON LEONA 1/CS, 750 [219304]","750","1",500
"08247803","CAPT MORGAN CANNONBLAST 12/10, 50ML [204518]","50ML","12",119.2
"08250506","SMIRNOFF SOUR BERRY LEMON, 50ML [248518]","50ML","12",127
"08251602","SMIRNOFF SRCE RUBY RED GRAPEFR, 50ML [245908]","50ML","12",127
"08251806","SMIRNOFF SRCE CRANBERRY APPLE, 50ML [245918]","50ML","12",127
"08252300","CROWN ROYAL VANILLA 10/6PKS, 50ML [205908]","50ML","10",159.54
"08252407","CIROC APPLE 4/15PK, 50ML [243178]","50ML","4",129.92
"08253600","CIROC MANGO 4/15PK, 50ML [243188]","50ML","4",129.92
"08254308","CAPT MORGAN LOCO-NUT 12/10PKS, 50ML [204918]","50ML","12",0
"08254405","CIROC SUMMER COLADA 4/15PK, 50ML [273198]","50ML","4",0
"08254609","SMIRNOFF SRCE WATERMELON, 50ML [245938]","50ML","12",0
"08254900","BUCHANAN'S 12YO 16/12PKS, 50ML [243048]","50ML","16",0
"085155000013","CHANDON BRUT, 750 [263244]","750","12",204
"085155000044","CHANDON ETOILE 6/CS, 750 [263194]","750","6",108
"08515500037","CHANDON BL DE NOIR, 750 [263234]","750","12",204
"085155221012","CHANDON BRUT 24/CS, 187 [263248]","187","24",121.5
"085155273349","CHANDON SWEET STAR SWEET LIFE, 750 [263814]","750","12",0
"085155273349","CHANDON SWEET STAR, 750 [263804]","750","12",0
"085155273424","SMOKE TREE CHARD 15/16, 750 [229104]","750","12",0
"085155273431","SMOKE TREE PINOT NOIR 2016, 750 [229114]","750","12",0
"085155273455","CHANDON SWEET STAR 24/CS, 187 [263807]","187","24",0
"085155273523","SMOKE TREE ROSE 17/19, 750 [229124]","750","12",0
"085156018017��","KETEL ONE VODKA 10/12PKS GL, 50ML [229008]","50ML","10",255.19
"085156122158��","KETEL ONE VODKA 12/CS, 375 [229006]","375","12",85.63
"085156210039","KETEL ONE 325TH ANNIVERSARY, LTR [229063]","LTR","6",172.69
"085156220007","KETEL ONE VODKA 24/CS, 200 [229007]","200","24",171.25
"085156410002","KETEL ONE ORANJE, LTR [229053]","LTR","12",345.38
"085156420001","KETEL ONE ORANJE 24/CS, 200 [229057]","200","24",171.25
"085156437009","KETEL ONE ORANJE 12/CS, 375 [229056]","375","12",85.63
"085156450008","KETEL ONE ORANJE 10/12 PKS, 50ML [229058]","50ML","10",255.19
"085156515417��","KETEL ONE VODKA, 750 [229004]","750","12",220.75
"085156610006","KETEL BOT PEACH & ORANGE BLOSS, LTR [229083]","LTR","12",0
"085156610419","KETEL ONE ARNOLD PALMER LTD, LTR [229013]","LTR","12",0
"085156610419��","KETEL ONE VODKA, LTR [229003]","LTR","12",345.38
"085156675005","KETEL BOT PEACH & ORANGE BLOSS, 750 [229084]","750","12",0
"085156710003","KETEL BOT GRAPEFRUIT & ROSE, LTR [229073]","LTR","12",0
"085156775002","KETEL BOT GRAPEFRUIT & ROSE, 750 [229074]","750","12",0
"085156803682��","KETEL ONE VODKA, 1.75 [229002]","1.75","6",199.94
"085456471001","KETEL ONE ORANJE, 1.75 [229052]","1.75","6",199.94
"085456475001","KETEL ONE ORANJE, 750 [229054]","750","12",220.75
"086767210029","BAILEYS IRISH CREAM, 1.75 [204012]","1.75","6",222.5
"086767210043","BAILEYS IRISH CREAM, LTR [204013]","LTR","12",345.9
"086767210067","BAILEYS FESTIVE, 750 [204135]","750","12",0
"086767210067","BAILEYS IRISH CREAM, 750 [204014]","750","12",274.5
"086767210098","BAILEYS IRISH CREAM 12/CS, 375 [204016]","375","12",163.79
"086767210104","BAILEYS IRISH CREAM 24/CS, 200 [204017]","200","24",177.9
"086767240026","EMMETS IRISH CREAM, 1.75 [204022]","1.75","6",148.61
"086767240040","EMMETS IRISH CREAM, LTR [204023]","LTR","12",187
"086767240064��","EMMETS IRISH CREAM, 750 [204024]","750","12",153.9
"086767520043��","RUMPLE MINZE, LTR [204253]","LTR","12",324.3
"086767520067��","RUMPLE MINZE, 750 [204254]","750","12",268
"086767520098��","RUMPLE MINZE 12/CS, 375 [204256]","375","12",148.62
"086767700933��","BAILEYS IRISH CREAM 4/20, 50ML [204018]","50ML","4",157.05
"086767701367","BAILEYS 4/24PK (SL=6/4PK), 100 [204019]","100","4",183.77
"086767703798��","RUMPLE MINZE 12/10PKS, 50ML [204259]","50ML","12",247
"086767704566","BAILEYS ESPRESSO CREAM, 750 [204214]","750","12",274.5
"086767704573","BAILEYS ESPRESSO CREAM, LTR [204213]","LTR","12",345.9
"086767704818","BAILEYS W/2 BOWLS VAP 6/CS, 750 [204145]","750","6",0
"086767704832","BAILEYS STRAWBERRY & CREAM LTD, 750 [214034]","750","12",0
"086767706696","BAILEYS PUMPKIN SPICE 4/20PK, 50ML [214018]","50ML","4",157.05
"086816327371","CABIN FEVER MAPLE WSKY 12/10PK, 50ML [202908]","50ML","12",155.09
"087000002708��","CAPT MORGAN SPICED RUM, LTR [204603]","LTR","12",260.45
"087000002715��","CAPT MORGAN SPICED RUM, 750 [204604]","750","12",134.29
"087000002739��","CAPT MORGAN SPICED RUM PET, 200 [204607]","200","48",205.37
"087000002777��","CAPT MORGAN SPICED RUM PET, 375 [204606]","375","24",171.26
"087000003118��","GODIVA CHOCOLATE LIQUEUR, 750 [204504]","750","12",316.6
"087000003125��","GODIVA CHOCOLATE LIQUEUR 12/CS, 375 [204506]","375","12",164.45
"087000003163��","GODIVA CHOC LIQUEUR 6/10 PKS, 50ML [204508]","50ML","6",175.6
"087000003262��","SEAGRAMS SEVEN CROWN 12/10, 50ML [204828]","50ML","12",151.19
"087000003316��","CAPT MORGAN SILVER SPICED RUM, LTR [204613]","LTR","12",260.45
"087000004139��","BULLEIT BOURBON, 200 [215207]","200","48",403.15
"087000005518��","GODIVA WHITE CHOCOLATE, 750 [204524]","750","12",316.6
"087000005525","BULLEIT BOURBON TATTOO LE, 750 [215234]","750","12",0
"087000005532��","GODIVA WHITE CHOCOLATE 12/CS, 375 [204526]","375","12",164.45
"087000005556��","GODIVA WHITE CHOCOLATE 6/10PK, 50ML [204528]","50ML","6",175.6
"087000007253��","CROWN ROYAL - 204805, 750 [204804]","750","12",322.47
"087000007321��","SEAGRAMS SEVEN CROWN, LTR [204823]","LTR","12",197.49
"087000007338��","SEAGRAMS SEVEN CROWN, 750 [204824]","750","12",160.4
"087000007352","SEAGRAMS SEVEN CROWN 24/PK, 200 [204837]","200","24",0
"087000007352��","SEAGRAMS SEVEN CROWN, 200 [204827]","200","48",184.79
"087000007604��","CROWN ROYAL, 375 [204806]","375","24",349.42
"087000007659��","SEAGRAMS SEVEN CROWN, 375 [204826]","375","24",164.41
"087000201156��","CAPT MORGAN SPICED RUM GLASS, 1.75 [204602]","1.75","6",143.4
"087000201330��","CROWN ROYAL RESERVE, 750 [204814]","750","12",505.25
"087000201484��","CAPT MORGAN SILVER SPICED RUM, 1.75 [204612]","1.75","6",143.4
"087000202078��","CAPT MORGAN PRIVATE STOCK, LTR [204623]","LTR","12",336
"087000202443��","CAPT MORGAN PRIVATE STOCK, 1.75 [204621]","1.75","6",256
"087000506336��","CAPT MORGAN SPICED RUM 12/10PK, 50ML [204608]","50ML","12",183.25
"087000700604��","CROWN ROYAL, 1.75 [204802]","1.75","6",290.94
"087000700703��","SEAGRAMS SEVEN CROWN PET, 1.75 [204822]","1.75","6",109.95
"087000701045��","CROWN ROYAL 10/6PK, 50ML [204808]","50ML","10",159.54
"088004143534��","PIMM'S CUP, LTR [250123]","LTR","12",249.15
"088004143541��","PIMM'S CUP, 750 [250124]","750","12",201.49
"088076006225��","GEORGE DICKEL #12, LTR [279313]","LTR","12",316.61
"088076006232","GEORGE DICKEL #12, 750 [279314]","750","12",258.56
"088076006423��","GEORGE DICKEL #8, LTR [279303]","LTR","12",213.63
"088076006430��","GEORGE DICKEL #8, 750 [279304]","750","12",187
"088076030060","PAMPERO ANIVERSARIO 6/CS, 750 [215244]","750","6",141.97
"088076161597��","J WALKER BLUE 24/CS, 200 [220067]","200","24",1267.2
"088076161870��","CIROC VODKA 12/CS, LTR [243100]","LTR","12",448.92
"088076162655��","CIROC VODKA 12/CS, 375 [243106]","375","12",174.3
"088076163386��","TANQUERAY NO TEN, 1.75 [220112]","1.75","6",269
"088076163461��","CAOL ILA 12YR 6/CS, 750 [221304]","750","6",297.91
"088076163485��","CLYNELISH 14YR 6/CS, 750 [221324]","750","6",292
"088076164710��","TALISKER 18YR 91.6* 6/CS, 750 [221334]","750","6",656
"088076166585��","CRAGGANMORE 12YR DIS EDIT 6/CS, 750 [221215]","750","6",332.83
"088076166608��","DALWHINNIE DE 43 6/CS, 750 [221225]","750","6",361.84
"088076167896��","J WALKER BLUE 3/CS, 1.75 [220062]","1.75","3",1336.47
"088076168640��","TANQUERAY RANGPUR, 750 [220164]","750","12",297.5
"088076168909��","ZWACK 6/CS, 750 [211134]","750","6",113.33
"088076170087��","BUCHANAN'S RED SEAL 6/CS, 750 [243064]","750","6",758.5
"088076171213��","WHITE HORSE SCOTCH, 375 [215266]","375","24",202.13
"088076171220��","WHITE HORSE SCOTCH, 750 [215264]","750","12",187.55
"088076171244��","WHITE HORSE SCOTCH, 1.75 [215262]","1.75","6",171.07
"088076173774��","CIROC VODKA 24/CS, 200 [243107]","200","24",234.18
"088076174641","OLD PARR 12 YR OLD, 750 [215274]","750","12",370.38
"088076174948","CIROC COCONUT 12/CS, 375 [243116]","375","12",174.3
"088076174955","CIROC COCONUT 12/CS, 750 [243111]","750","12",345.55
"088076174962","CIROC COCONUT 12/CS, LTR [243110]","LTR","12",448.92
"088076174979","CIROC COCONUT, 1.75 [243112]","1.75","6",302.35
"088076175044","CIROC RED BERRY 12/CS, 375 [243126]","375","12",174.3
"088076175051","CIROC RED BERRY 12/CS, 750 [243121]","750","12",345.55
"088076175068","CIROC RED BERRY 12/CS, LTR [243120]","LTR","12",448.92
"088076175075","CIROC RED BERRY, 1.75 [243122]","1.75","6",302.35
"088076175952��","CIROC COCONUT 4/15 PKS, 50ML [243118]","50ML","4",129.92
"088076175976��","CIROC RED BERRY 4/15 PKS, 50ML [243128]","50ML","4",129.92
"088076176294��","CARDHU SCOTCH 6/CS, 750 [215014]","750","6",220.14
"088076177383��","CIROC PEACH 4/15PK, 50ML [243138]","50ML","4",129.92
"088076177390��","CIROC PEACH 12/CS, 375 [243136]","375","12",174.3
"088076177406","CIROC PEACH 12/CS, 750 [243131]","750","12",345.55
"088076177413","CIROC PEACH 12/CS, LTR [243130]","LTR","12",448.92
"088076177420��","CIROC PEACH, 1.75 [243132]","1.75","6",302.35
"088076177703��","J WALKER DOUBLE BLACK 6/CS, 750 [220034]","750","6",266.67
"088076177796��","CIROC COCONUT 24/CS, 200 [243117]","200","24",234.18
"088076177802��","CIROC RED BERRY 24/CS, 200 [243127]","200","24",234.18
"088076177819","J WALKER DOUBLE BLACK, LTR [220033]","LTR","12",599.88
"088076178403��","CIROC PEACH 24/CS, 200 [243137]","200","24",234.18
"088076178656","TANQUERAY MALACCA GIN 6/CS, LTR [220193]","LTR","6",0
"088076179066","CIROC PINEAPPLE 24/CS, 200 [243157]","200","24",234.18
"088076179073","CIROC PINEAPPLE 12/CS, 375 [243156]","375","12",174.3
"088076179080","CIROC PINEAPPLE 12/CS, 750 [243154]","750","12",345.55
"088076179097","CIROC PINEAPPLE 12/CS, LTR [243153]","LTR","12",448.92
"088076179103","CIROC PINEAPPLE, 1.75 [243152]","1.75","6",302.35
"088076179226��","J WALKER COLLECTION 6/4PK, 200 [220087]","200","6",450
"088076179387��","PIMM'S BLACKBERRY ELDERFL, 750 [270104]","750","12",90
"088076179414","OBAN LITTLE BAY, 750 [221434]","750","12",656.38
"088076179707","CAOL ILA 15YR 6/CS, 750 [221604]","750","6",0
"088076180277","J WALKER 10YR RYE CASK 6/CS, 750 [220084]","750","6",215.94
"088076180437","CIROC APPLE 24/CS, 200 [243177]","200","24",234.18
"088076180444","CIROC APPLE 12/CS, 375 [243176]","375","12",174.3
"088076180451","CIROC APPLE, 750 [243174]","750","12",345.55
"088076180468","CIROC APPLE, LTR [243173]","LTR","12",448.92
"088076180475","CIROC APPLE, 1.75 [243172]","1.75","6",302.35
"08807618057","SINGLETON 12YO 6/CS, 750 [221204]","750","6",0
"088076180680","CIROC MANGO 12/CS, 375 [243186]","375","12",174.3
"088076180697","CIROC MANGO 12/CS, 750 [243184]","750","12",345.55
"088076180765","SINGLETON 18YO 6/CS, 750 [221264]","750","6",0
"088076180871","CIROC MANGO 24/CS, 200 [243187]","200","24",234.18
"08807618088","CIROC MANGO, LTR [243183]","LTR","12",448.92
"088076180895","CIROC MANGO, 1.75 [243182]","1.75","6",302.35
"088076181175","BUCHANAN'S 12YR 24/CS, 200 [243047]","200","24",0
"088076181304","CIROC SUMMER COLADA, 750 [273194]","750","12",0
"088076181366","J WALKER 18YR, 750 [220304]","750","6",0
"088076181540","CIROC FRENCH VANILLA, 750 [243194]","750","12",0
"088076181595","J WALKER BLENDERS WINE CASK BL, 750 [220094]","750","12",0
"088076181632","CIROC FRENCH VANILLA 24/CS, 200 [243197]","200","24",0
"088076181656","CIROC FRENCH VANILLA 12/CS, 375 [243196]","375","12",0
"088076181663","CIROC FRENCH VANILLA, LTR [243193]","LTR","12",0
"088076181670","CIROC FRENCH VANILLA, 1.75 [243192]","1.75","6",0
"088076181700","TEANINICH 17YO 111.8 6/CS, 750 [221104]","750","6",0
"088076182448","BAILEYS MINIS 4X8X3PKS, 100 [204119]","100","4",0
"088076182547","J WALKER ""JANE WALKER 2.0"" 6/C, 750 [220144]","750","6",0
"088076182622","DON JULIO REPOS DBL CASK 6/CS, 750 [217934]","750","6",0
"088076182691","BUCHANANS 15YR, 750 [243084]","750","12",0
"088076182721","DON JULIO REPO PR CASK CONDESA, 750 [217814]","750","6",0
"088076182752","CLASSIC MALTS COASTAL (8X3), 200 [221107]","200","8",0
"088076182776","CLASSIC MALTS STRONG (8X3), 200 [221117]","200","8",0
"088076182868","MORTLACH 12YR 6/CS, 750 [221484]","750","6",0
"088076182899","J WALKER BLK W/DB/GOLD 50M 750, 750 [220225]","750","6",0
"088076183025","GOT SINGLETON TULLY 6/CS, 750 [221605]","750","6",0
"088076183032","GOT DALWHINNIE STARK 6/CS, 750 [221615]","750","6",0
"088076183049","GOT CARDHU TARGARYAN 6/CS, 750 [221625]","750","6",0
"088076183063","GOT OBAN KNIGHTS WATCH 6/CS, 750 [221645]","750","6",0
"088076183315","CIROC BLACK RASPBERRY, LTR [243203]","LTR","12",0
"088076183407","CIROC MOSHINO W/SHOT GLS 6/CS, 750 [243115]","750","6",0
"088076183728","CIROC SUMMER WATERMELON, 750 [243304]","750","12",0
"088076184633","GOT MORTLACH 15YR 6/CS, 750 [221294]","750","6",0
"088076201323��","GEORGE DICKEL BARREL SELECT, 750 [279504]","750","12",460
"088076201507��","GEORGE DICKEL #8 12/10PKS, 50ML [279308]","50ML","12",79.2
"088110000059","PINCH DIMPLE 15YR OLD, 750 [215054]","750","12",393
"08811000066","PINCH DIMPLE 15YR OLD, LTR [215053]","LTR","12",470.29
"088110011000","J WALKER BLACK PET 10/12PK, 50ML [220041]","50ML","10",399
"088110011192","J WALKER BLACK SQUARE, 375 [220046]","375","24",445.5
"088110011406","J WALKER BLACK, LTR [220043]","LTR","12",520.9
"088110021009","J WALKER RED PET 10/PK, 50ML [220051]","50ML","10",239.25
"088110021191","J WALKER RED SQUARE, 375 [220056]","375","24",265.49
"088110021306","J WALKER RED, 750 [220054]","750","12",273.3
"088110021405","J WALKER RED, LTR [220053]","LTR","12",333.5
"088110070052","J WALKER BLUE LABEL 6/CS, 750 [220064]","750","6",1232.94
"088110077307","J WALKER BLACK, 750 [220044]","750","12",412.7
"088110090050","CRAGGANMORE 12YR OLD SCOTCH, 750 [221194]","750","12",570
"088110100056��","DALWHINNIE 15YR OLD SCOTCH, 750 [221224]","750","12",605.88
"088110110017��","TANQUERAY GIN PET 50ML 10/12PK, 50ML [220171]","50ML","10",207.2
"088110110109","TANQUERAY GIN FLASK, 200 [220177]","200","48",301.29
"088110110307","TANQUERAY GIN, 750 [220174]","750","12",283.09
"088110110406","TANQUERAY GIN, LTR [220173]","LTR","12",340.5
"088110110505","TANQUERAY GIN, 1.75 [220172]","1.75","6",204.5
"088110110604","TANQUERAY GIN FLASK, 375 [220175]","375","24",265.59
"088110110642","TANQUERAY GIN ROUND, 375 [220176]","375","24",265.59
"088110111069","TANQUERAY STERLING VODKA, LTR [220183]","LTR","12",220
"088110140052��","LAGAVULIN 16YR SCOTCH 12/CS, 750 [221254]","750","12",786.84
"088110150501","HENNESSY VS 10/12PK, 50ML [261181]","50ML","10",415
"088110150556","HENNESSY VS, 750 [261184]","750","12",376.75
"088110150563","HENNESSY VS ROUND, LTR [261183]","LTR","12",493.88
"088110150587","HENNESSY VS, 1.75 [261182]","1.75","6",417
"088110151010","HENNESSY PRIV VSOP 10/12PK, 50ML [261298]","50ML","10",565.82
"088110151058","HENNESSY PRIV VSOP, 750 [261294]","750","12",625.72
"088110151065","HENNESSY PRIV VSOP, LTR [261293]","LTR","12",826.59
"088110153052","HENNESSY XO ODYSSEY SLEEVE, 750 [261244]","750","12",2224
"088110153052","HENNESSY XO, 750 [261234]","750","12",2224
"088110156152","HENNESSY PARADIS 6/CS, 750 [261214]","750","6",4500
"088110158590","TANQUERAY NO TEN, LTR [220133]","LTR","12",412.68
"088110158965","TERRAZAS MALBEC 17/18, 750 [262514]","750","12",107
"088110160050","OBAN 14YR OLD SCOTCH, 750 [221234]","750","12",665.88
"088110170059��","TALISKER 10YR MALT SCOTCH, 750 [221244]","750","12",646.77
"088110185606","TANQUERAY NO TEN, 750 [220114]","750","12",355
"088110511005","HENNESSY PRIV VSOP 24/CS FLASK, 200 [261297]","200","24",326.96
"088110551025","MOET IMPERIAL 24/CS, 187 [263107]","187","24",280
"088110551032","MOET IMPERIAL 12/CS, 375 [263106]","375","12",276
"088110551056","MOET IMP EOY 18 FESTIVE GB 6/C, 750 [263205]","750","6",0
"088110551070","MOET IMPERIAL 3/CS, 1.5 [263102]","1.5","3",269.1
"088110551254","MOET NECTAR IMP 6/CS, 750 [263114]","750","6",257
"088110552404","MOET ROSE IMP UNCONV LOVE GIFT, 750 [263175]","750","6",0
"08811091025","GRAND MARNIER, LTR [220123]","LTR","12",439.22
"088110931018","GRAND MARNIER, 1.75 [220122]","1.75","6",371.02
"088110931032","GRAND MARNIER, 750 [220124]","750","12",360.6
"088110931049","GRAND MARNIER ROUND 24/CS, 375 [220126]","375","24",416.37
"088110935016","GRAND MARNIER 100 6/CS, 750 [220134]","750","6",835
"088110955311��","BUCHANAN'S 12YR, 1.75 [243042]","1.75","6",460
"088110955328","BUCHANAN'S 12YR OLD SCOTCH, 750 [243044]","750","12",479.89
"088110955335��","BUCHANAN'S 12YR, 375 [243046]","375","24",438.93
"088110985004��","J&B SCOTCH, 1.75 [261702]","1.75","6",209.95
"088110985028��","J&B SCOTCH, LTR [261703]","LTR","12",316.69
"088110985042��","J&B SCOTCH, 750 [261704]","750","12",249.49
"088110985080��","J&B SCOTCH FLASK 12/CS, 375 [261706]","375","12",128.5
"088110985097��","J&B SCOTCH FLASK 24/CS, 200 [261707]","200","24",155.85
"088415000044","CHANDON ETOILE ROSE 6/CS, 750 [263224]","750","6",120
"088600000002��","GORDON GIN PET, 1.75 [215102]","1.75","6",139.94
"088600000019��","GORDON GIN, LTR [215103]","LTR","12",191.9
"088600000026��","GORDON GIN, 750 [215114]","750","12",172.68
"088600000040��","GORDON GIN PET, 200 [215107]","200","48",198.51
"088600000064��","GORDON GIN PET, 375 [215106]","375","24",169.54
"088600000101","GORDON VODKA 80 PET, 1.75 [215122]","1.75","6",119.95
"088600000118","GORDON VODKA 80, LTR [215123]","LTR","12",172.57
"088600000163","GORDON VODKA 80 PET, 375 [215126]","375","24",128.39
"10082000003998","DELEON PLATINUM 12/CS, 375 [219106]","375","12",299.92
"10082000004049","DELEON PLATINUM 6/CS, 750 [219114]","750","6",275.94
"10082000004063","DELEON PLATINUM 3/CS, 1.75 [219102]","1.75","3",275
"10082000004087","DELEON REPOSADO 6/CS, 750 [219104]","750","6",299.96
"10082000771552","CROWN ROYAL REGAL APPLE, 375 [204896]","375","24",349.42
"10082000771569","CROWN ROYAL REGAL APPLE, 750 [204894]","750","12",322.47
"10082000771583","CROWN ROYAL REGAL APPLE, LTR [204893]","LTR","12",405.75
"10082000771590","CROWN ROYAL REGAL APPLE, 1.75 [204892]","1.75","6",290.94
"10085155275180","CHANDON ROSE ALUM 187ML 24/CS, 187 [263267]","187","24",0
"10087000004044","BULLEIT BOURBON, 1.75 [215202]","1.75","6",293.94
"10088076177786","BUCHANAN'S MASTER, 750 [243074]","750","12",521
"674545000001","DON JULIO BLANCO TEQ 6/CS, 750 [217944]","750","6",265.5
"674545000063","DON JULIO ANEJO 6/CS, 750 [217964]","750","6",299.96
"674545000162��","DON JULIO REAL 6/CS, 750 [217974]","750","6",1452
"674545000414��","DON JULIO REPOS 6/CS, 750 [217954]","750","6",283
"674545000599��","DON JULIO BLANCO 12/CS, 375 [217946]","375","12",264
"674545000612��","DON JULIO ANEJO 12/CS, 375 [217966]","375","12",293.92
"674545000629��","DON JULIO BLANCO 3/CS, 1.75 [217942]","1.75","3",249.58
"674545000636��","DON JULIO REPOS 3/CS, 1.75 [217952]","1.75","3",257.65
"674545000643��","DON JULIO ANEJO 3/CS, 1.75 [217962]","1.75","3",266.68
"674545000827��","DON JULIO 70TH ANNIVERSARY 6/C, 750 [217994]","750","6",290
"674545001084","DON JULIO 1942 4/CS, 1.75 [217982]","1.75","4",0
"674545200548��","DON JULIO BLANCO TEQ 6/10PK, 50ML [217948]","50ML","6",203
"674545200555��","DON JULIO REPOS 6/10PK, 50ML [217958]","50ML","6",0
"674545200562��","DON JULIO ANEJO 6/10PK, 50ML [217968]","50ML","6",231.5
"699013000550��","RON ZACAPA RUM 23YR CENT 6/CS, 750 [204874]","750","6",220.75
"699013000567��","RON ZACAPA XO 6/CS, 750 [204884]","750","6",402.68
"699013000956","RON ZACAPA EDICION NEGRA 6/CS, 750 [204984]","750","6",0
"780999003731��","SMIRNOFF BL MARY MIX 12/CS, 32OZ [248102]","32OZ","12",41.99
"80076183056","GOT LAGAVULIN LANNISTER 6/CS, 750 [221635]","750","6",0
"81753050078","CAPE MENTE SAUV/SEM 17/18 6/CS, 750 [227044]","750","6",78.75
"81753050207","CLICQUOT Y/L BRUT, 750 [228004]","750","12",561
"81753050221","CLICQUOT Y/L BRUT, 375 [228006]","375","24",584
"81753050351","CLICQUOT DEMI-SEC, 750 [228034]","750","12",534
"8175319076","KRUG GRAND CUVEE 6/CS, 750 [228934]","750","6",923
"81753800734","CLICQUOT VINT ROSE 2012 6/CS, 750 [228164]","750","6",430
"81753801403","NEWTON CAB SAUV UF *14  6/CS, 750 [228104]","750","6",0
"81753801809","SKYSIDE CHARD 17, 750 [228064]","750","12",218.98
"81753801823","NEWTON CHARD UF 15 6/CS, 750 [228114]","750","6",261
"81753801830","SKYSIDE CAB S 17, 750 [228144]","750","12",0
"81753801847","SKYSIDE RED BLD (CLARET) 17, 750 [228075]","750","12",228
"81753809416","CLICQUOT ROSE N/V, 750 [228194]","750","12",590
"81753809423","CLOUDY BAY SAUV BL *17, 750 [227064]","750","12",0
"81753809423","CLOUDY BAY SAUV BLANC *18, 750 [227084]","750","12",302
"81753809430","CLOUDY BAY P NOIR 15/16 6/CS, 750 [227094]","750","6",183.95
"81753809485","CLICQUOT LA G DAME *08 6/CS, 750 [228314]","750","6",735
"81753810757","MOET ROSE IMP 12/CS, 375 [263166]","375","12",294.39
"81753810818","GLENMORANGIE 10YR 6/CS, 750 [220615]","750","6",197
"81753810849","GLENMORANGIE ER 18YR 6/CS, 750 [220645]","750","6",556
"81753810863","GLENMORANGIE 12YR LASANTA 6/CS, 750 [220665]","750","6",261
"81753810870","GLENMOR QUINTA RUBAN 14YR 6/CS, 750 [220655]","750","6",271
"81753810887","GLENMORANGIE NECTAR D'OR 6/CS, 750 [220675]","750","6",354
"81753810979","CLICQUOT Y/L 3/CS, 1.5 [228013]","1.5","3",321
"81753813093","KRUG VINTAGE 2006 6/CS, 750 [228944]","750","6",1210
"81753814052","GLENMORANGIE SIGNET (4/CS), 750 [220704]","750","4",639
"81753814083","NUMANTHIA TERMANTHIA 12 6/CS, 750 [268725]","750","6",750
"81753814090","NUMANTHIA *15 6/CS, 750 [268704]","750","6",273.45
"81753814113","NUMANTHIA TERMES 15/16  6/CS, 750 [268734]","750","6",136
"81753815554","HENNESSY BLACK, 750 [261164]","750","12",472
"81753815561","HENNESSY BLACK, LTR [261163]","LTR","12",607
"81753816247","ARDBEG CORRYVRECKEN 6/CS, 750 [220794]","750","6",438
"81753816766","MOET NECTAR IMP ROSE 24/CS, 187 [263137]","187","24",352
"81753816773","MOET NECTAR IMP ROSE 12/CS, 375 [263136]","375","12",324
"81753816971","HENNESSY BLACK 12/CS, 375 [261166]","375","12",283
"81753817503","BELVEDERE PINK GRAPEFRUIT 6/CS, 750 [214184]","750","6",23.75
"81753817510","BELVEDERE PINK GRAPEFRUIT 6/CS, LTR [214183]","LTR","6",204.7
"81753817916","GLENMORANGIE 10YO CRAFTMAN CUP, 750 [220765]","750","6",197
"81753818029","MOET ICE IMPERIAL 6/CS, 750 [263084]","750","6",294.24
"81753819170","BELVEDERE UNFILTERED 6/CS, LTR [214403]","LTR","6",239.95
"81753819187","BELVEDERE UNFILTERED 6/CS, 750 [214404]","750","6",23.75
"81753820213","BELVEDERE BLOODY MARY 6/CS, LTR [214193]","LTR","6",133
"81753820503","TERRAZAS TORRONTES RES 17, 750 [262554]","750","12",128
"81753821050","GRAND MARNIER QUINTESSENCE 1/C, 750 [220132]","750","1",600.41
"81753822002","DOM PERIGNON ROSE LUMINOUS 3/C, 750 [263186]","750","3",822
"81753822248","BELVEDERE P RED JOHN LEG 6/CS, 750 [214174]","750","6",23.75
"81753822262","BELVEDERE P RED JOHN LEG 6/CS, 1.75 [214171]","1.75","6",336.6
"81753824495","GRAND MARN RASP PEACH, 750 [220154]","750","12",360.6
"81753824815","BELVEDERE MANGO PASS 6/CS, 750 [215184]","750","6",100
"81753824839","BELVEDERE MANGO PASS 6/CS, LTR [215183]","LTR","6",204.7
"81753825232","ONP CLICQUOT Y/L RESERVE, 750 [228204]","750","12",0
"81753825430","GRAND MARN RASP PEACH 24/CS, 375 [220156]","375","24",300
"81753825584","BELVEDERE WILD BERRY, LTR [214243]","LTR","6",133
"81753825591","BELVEDERE WILD BERRY, 750 [214244]","750","6",23.75
"81753827519","GLENMORANGIE MILSEAN 6/CS, 750 [220784]","750","6",460
"81753827625","BELVEDERE PEACH NECTAR 6/CS, LTR [214313]","LTR","6",204.7
"81753827632","BELVEDERE PEACH NECTAR 6/CS, 750 [214314]","750","6",23.75
"81753828066","ARDBEG 10YR QUADRANT W/UIG 50M, 750 [220894]","750","6",0
"82000002543","SEAGRAMS SEVEN DARK HONEY, 750 [204834]","750","12",160.4
